col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
15,The Pawn Shop,$$,"['Jewelry', 'Guns & Ammo', 'Sporting Goods']",['(256) 248-4792'],(256) 248-4792,1020 Woodward Ave,/biz/the-pawn-shop-muscle-shoals?osq=shopping,Tuscumbia,AL,35674,
16,Fred’s Discount Store,$$,['Department Stores'],['(256) 764-0911'],(256) 764-0911,Court St,/biz/freds-discount-store-florence?osq=shopping,Tuscumbia,AL,35674,
17,Kohl’s - Florence,$$,"['Department Stores', ""Men's Clothing"", ""Women's Clothing""]",['(256) 767-5377'],(256) 767-5377,350 Seville St,/biz/kohls-florence-florence-2?osq=shopping,Tuscumbia,AL,35674,
18,Hobby Lobby,$$,"['Art Supplies', 'Hobby Shops', 'Home Decor']",['(256) 768-0185'],(256) 768-0185,1622 Florence Blvd,/biz/hobby-lobby-florence-4?osq=shopping,Tuscumbia,AL,35674,
19,Sam’s Club,$$,"['Grocery', 'Department Stores', 'Wholesale Stores']",['(256) 767-9960'],(256) 767-9960,364 Cox Creek Pkwy.,/biz/sams-club-florence?osq=shopping,Tuscumbia,AL,35674,
20,Charlotte Russe,$$,"[""Women's Clothing""]",(256) 765-0004,Florence Mall,/biz/charlotte-russe-florence-2?osq=shopping,Tuscumbia,AL,35674,,
20,Charlotte Russe,$$,"[""Women's Clothing""]",(256) 765-0004,Florence Mall,/biz/florence-mall-florence-4,Tuscumbia,AL,35674,,
21,Pickwick Supermarket,$$,['Grocery'],11208 Highway 57,"Counce, TN 38326",(731) 689-5178,/biz/pickwick-supermarket-counce?osq=shopping,Tuscumbia,AL,35674,
22,Kinnucan’s,$$,['Outdoor Gear'],8201 US 72 W,"Madison, AL 35758",(256) 382-3221,/biz/kinnucans-madison?osq=shopping,Tuscumbia,AL,35674,
23,Books-A-Million,$$,['Bookstores'],318 Cox Creek Pkwy,"Florence, AL 35630",(256) 768-7953,/biz/books-a-million-florence-2?osq=shopping,Tuscumbia,AL,35674,
24,Piggly Wiggly,$$,['Grocery'],627 Battleground Dr,"Iuka, MS 38852",(662) 423-3651,/biz/piggly-wiggly-iuka?osq=shopping,Tuscumbia,AL,35674,
25,Climate Guard Self Storage,$$,"['Self Storage', 'Packing Supplies']",,Serving Florence and the Surrounding Area,(256) 766-1221,/biz/climate-guard-self-storage-florence?osq=shopping,Tuscumbia,AL,35674,
26,Lil’ Steve’s,$$,['Grocery'],1320 N Pine St,"Florence, AL 35630",(256) 766-6680,/biz/lil-steves-florence?osq=shopping,Tuscumbia,AL,35674,
27,Blush Boutique,$$,"[""Women's Clothing"", 'Jewelry', 'Accessories']",104 W 6th St,"Tuscumbia, AL 35674",(256) 381-7050,/biz/blush-boutique-tuscumbia?osq=shopping,Tuscumbia,AL,35674,
28,The Eclectic,$$,"['Accessories', 'Jewelry', 'Gift Shops']",411 E Tennessee St,"Florence, AL 35630",(256) 718-7999,/biz/the-eclectic-florence?osq=shopping,Tuscumbia,AL,35674,
29,Cato,$$,['Accessories'],519 Avalon Ave,"Muscle Shoals, AL 35661",(256) 389-9500,/biz/cato-muscle-shoals?osq=shopping,Tuscumbia,AL,35674,
30,Ross Dress for Less,$$,"['Department Stores', ""Women's Clothing"", 'Home Decor']",356 Cox Creek Parkway,"Florence, AL 35630",(256) 764-0505,/biz/ross-dress-for-less-florence-2?osq=shopping,Tuscumbia,AL,35674,
31,Dillard’s,$$,['Department Stores'],301 Cox Creek Pkwy Ofc,"Florence, AL 35630",(256) 766-8200,/biz/dillards-florence?osq=shopping,Tuscumbia,AL,35674,
32,Food World,$$,['Grocery'],,3431 Woodward Ave,"Muscle Shoals, AL 35661",/biz/food-world-muscle-shoals-2?osq=shopping,Tuscumbia,AL,35674,
33,R & R BOUTIQUE,$$,"['Tanning Beds', ""Women's Clothing"", 'Accessories']",14463 County Line Rd,"Muscle Shoals, AL 35661",(256) 446-6006,/biz/r-and-r-boutique-muscle-shoals?osq=shopping,Tuscumbia,AL,35674,
34,Kangaroo Express #3642,$$,['Grocery'],4319 N Jackson Hwy,"Sheffield, AL 35660",(256) 386-8223,/biz/kangaroo-express-3642-sheffield?osq=shopping,Tuscumbia,AL,35674,
35,Hibbett Sports,$$,"['Shoe Stores', 'Sporting Goods']",519 Avalon Ave,"Muscle Shoals, AL 35661",(256) 389-9600,/biz/hibbett-sports-muscle-shoals?osq=shopping,Tuscumbia,AL,35674,
36,Tina’s Casuals,$$,"[""Women's Clothing"", 'Accessories', 'Plus Size Fashion']",206 C Cox Creek Pkwy,"Florence, AL 35630",(256) 284-7100,/biz/tinas-casuals-florence?osq=shopping,Tuscumbia,AL,35674,
37,Freds,$$,['Drugstores'],1401 Woodmont Dr,"Tuscumbia, AL 35674",(256) 314-0988,/biz/freds-tuscumbia?osq=shopping,Tuscumbia,AL,35674,
38,Valley Health Foods,$$,"['Health Markets', 'Grocery', 'Herbs & Spices']",117 S Cherry St,"Florence, AL 35630",(256) 764-5340,/biz/valley-health-foods-florence?osq=shopping,Tuscumbia,AL,35674,
39,Game On: Retroware Video Games & More,$$,['Video Game Stores'],Wilson Dam Rd,"Muscle Shoals, AL 35661",(256) 366-0867,/biz/game-on-retroware-video-games-and-more-muscle-shoals?osq=shopping,Tuscumbia,AL,35674,
40,Yogi’s Quik-Mart,$$,['Convenience Stores'],700 George Wallace Hwy,"Russellville, AL 35654",(256) 332-1777,/biz/yogis-quik-mart-russellville?osq=shopping,Tuscumbia,AL,35674,
41,Walmart Neighborhood Market,$$,"['Drugstores', 'Grocery']",1410 Florence Blvd,"Florence, AL 35630",(256) 712-6195,/biz/walmart-neighborhood-market-florence-2?osq=shopping,Tuscumbia,AL,35674,
42,Rite Aid,$$,"['Drugstores', 'Convenience Stores']",805 S Montgomery Ave,"Sheffield, AL 35660",(256) 383-1970,/biz/rite-aid-sheffield?osq=shopping,Tuscumbia,AL,35674,
43,Shoe Dept,$$,['Shoe Stores'],301 Cox Creek Pkwy,"Florence, AL 35630",(256) 764-4100,/biz/shoe-dept-florence-3?osq=shopping,Tuscumbia,AL,35674,
44,CVS Pharmacy,$$,['Drugstores'],1715 Woodward Ave,"Muscle Shoals, AL 35661",(256) 381-7641,/biz/cvs-pharmacy-muscle-shoals-2?osq=shopping,Tuscumbia,AL,35674,
45,Barnes Health Care Pharmacy,$$,['Drugstores'],221 N Ct St,"Florence, AL 35630",(256) 764-3961,/biz/barnes-health-care-pharmacy-florence?osq=shopping,Tuscumbia,AL,35674,
46,Rite Aid,$$,"['Drugstores', 'Convenience Stores']",2403 Florence Blvd,"Florence, AL 35630",(256) 766-7450,/biz/rite-aid-florence-6?osq=shopping,Tuscumbia,AL,35674,
1,Billy Reid,$$$,"[""Men's Clothing"", ""Women's Clothing"", 'Accessories']",['(256) 767-4692'],(256) 767-4692,114 N Court St,/biz/billy-reid-florence?osq=shopping,Tuscumbia,AL,35674,
2,Promenade,$$$,"['Formal Wear', 'Bridal', 'Maternity Wear']",['(256) 386-0160'],(256) 386-0160,112 E 6th St,/biz/promenade-tuscumbia?osq=shopping,Tuscumbia,AL,35674,
3,Victoria’s Secret,$$$,['Lingerie'],(256) 764-7799,Regency Square Mall,/biz/victorias-secret-florence-2?osq=shopping,Tuscumbia,AL,35674,,
3,Victoria’s Secret,$$$,['Lingerie'],(256) 764-7799,Regency Square Mall,/biz/regency-square-mall-florence,Tuscumbia,AL,35674,,
4,Gander Mountain - Florence Store,$$$,"['Guns & Ammo', 'Outdoor Gear']",['(256) 712-3067'],(256) 712-3067,340 Seville St,/biz/gander-mountain-florence-store-florence-3?osq=shopping,Tuscumbia,AL,35674,
5,Alabama Outdoors,$$$,"['Sports Wear', 'Outdoor Gear']",['(256) 764-1809'],(256) 764-1809,119 N Court St,/biz/alabama-outdoors-florence?osq=shopping,Tuscumbia,AL,35674,
6,Baby’s Room,$$$,"['Toy Stores', ""Children's Clothing""]",['(256) 766-5510'],(256) 766-5510,801 E Tennessee St,/biz/babys-room-florence?osq=shopping,Tuscumbia,AL,35674,
7,Gamestop,$$$,['Videos & Video Game Rental'],['(256) 381-4056'],(256) 381-4056,519 Avalon Ave,/biz/gamestop-muscle-shoals?osq=shopping,Tuscumbia,AL,35674,
8,DICK’S Sporting Goods,$$$,"['Sports Wear', 'Outdoor Gear', 'Fitness/Exercise Equipment']",['(256) 760-4211'],(256) 760-4211,376 Cox Creek Pkwy,/biz/dicks-sporting-goods-florence-3?osq=shopping,Tuscumbia,AL,35674,
1,Walmart Supercenter,$$$$,"['Grocery', 'Department Stores']",2701 Cloverdale Rd,"Florence, AL 35633",(256) 712-6410,/biz/walmart-supercenter-florence-5?osq=shopping,Tuscumbia,AL,35674,
1,Walmart Supercenter,$$$$,"['Grocery', 'Department Stores']",2701 Cloverdale Rd,"Florence, AL 35633",(256) 712-6410,/biz/smartstyle-florence-5,Tuscumbia,AL,35674,
2,Family Pharmacy Group,$$$$,['Drugstores'],1369 B George Wallace Hwy,"Littleville, AL 35654",(256) 332-4021,/biz/family-pharmacy-group-littleville?osq=shopping,Tuscumbia,AL,35674,
1,Jamie Hood Jewelers,$$,"['Jewelry', 'Watches', 'Jewelry Repair']",2508 Avalon Ave,"Muscle Shoals, AL 35661",(256) 381-6889,/biz/jamie-hood-jewelers-muscle-shoals?osq=localservices,Tuscumbia,AL,35674,
2,Counts Brothers Music,$$,"['Musical Instruments & Teachers', 'Musical Instrument Services']",713 Waverly Ave,"Muscle Shoals, AL 35661",(256) 383-7454,/biz/counts-brothers-music-muscle-shoals?osq=localservices,Tuscumbia,AL,35674,
3,Grogan Jewelers,$$,"['Jewelry', 'Jewelry Repair']",285 Cox Creek Pkwy,"Florence, AL 35630",(256) 764-4013,/biz/grogan-jewelers-florence-2?osq=localservices,Tuscumbia,AL,35674,
4,Climate Guard Self Storage,$$,"['Self Storage', 'Packing Supplies']",,Serving Florence and the Surrounding Area,(256) 766-1221,/biz/climate-guard-self-storage-florence?osq=localservices,Tuscumbia,AL,35674,
1,Seven Points Wash N Spin,$$$,['Laundromat'],1519 N Wood Ave,"Florence, AL 35630",(256) 415-8957,/biz/seven-points-wash-n-spin-florence?osq=localservices,Tuscumbia,AL,35674,
2,Shoals Guitar Boutique,$$$,"['Guitar Stores', 'Musical Instruments & Teachers']",108 East 5th St,"Tuscumbia, AL 35674",(256) 320-7649,/biz/shoals-guitar-boutique-tuscumbia?osq=localservices,Tuscumbia,AL,35674,
1,Lil Smokies,$,"['American (Traditional)', 'Barbeque']",['(662) 424-0268'],(662) 424-0268,1209 W Quitman St,/biz/lil-smokies-iuka?osq=restaurants,Waterloo,AL,35677,
2,Santa Fe Mexican Grill,$,['Mexican'],['(662) 593-5040'],(662) 593-5040,100 W Front St,/biz/santa-fe-mexican-grill-iuka?osq=restaurants,Waterloo,AL,35677,
3,Jack’s,$,"['Desserts', 'American (Traditional)', 'Chicken Wings']",['(662) 423-2429'],(662) 423-2429,1721 Battleground Dr,/biz/jacks-iuka?osq=restaurants,Waterloo,AL,35677,
4,Dock D’s Pizza and Patio,$,['Pizza'],['(731) 689-5400'],(731) 689-5400,150 Slide Dr,/biz/dock-ds-pizza-and-patio-counce-2?osq=restaurants,Waterloo,AL,35677,
5,Rhodesville Cafe,$,['Cafes'],['(256) 764-8304'],(256) 764-8304,5843 County Rd 189,/biz/rhodesville-cafe-florence?osq=restaurants,Waterloo,AL,35677,
1,Country Squire Restaurants,$$,['American (New)'],['(662) 423-9984'],(662) 423-9984,459 County Rd 172,/biz/country-squire-restaurants-iuka?osq=restaurants,Waterloo,AL,35677,
2,The Southern Farm Table Restaurant and Bakery,$$,"['American (Traditional)', 'Bakeries', 'Steakhouses']",['(256) 577-7009'],(256) 577-7009,4160 County Rd 200,/biz/the-southern-farm-table-restaurant-and-bakery-florence?osq=restaurants,Waterloo,AL,35677,
3,El Picante,$$,['Restaurants'],['(662) 423-7224'],(662) 423-7224,1727 W Quitman St,/biz/el-picante-iuka?osq=restaurants,Waterloo,AL,35677,
4,Point Of View Restaurant And Oyster Bar,$$,['Seafood'],['(256) 360-2324'],(256) 360-2324,901 Riverton Rose Trl,/biz/point-of-view-restaurant-and-oyster-bar-cherokee?osq=restaurants,Waterloo,AL,35677,
1,Hardee’s,$$$,"['Fast Food', 'American (Traditional)']",['(662) 423-1008'],(662) 423-1008,1610 1st American Dr,/biz/hardees-iuka?osq=restaurants,Waterloo,AL,35677,
1,Town & Country Furniture,$,['Furniture Stores'],1710 W Quitman St,"Iuka, MS 38852",(662) 423-5660,/biz/town-and-country-furniture-iuka?osq=shopping,Waterloo,AL,35677,
2,Cooley’s Grocery,$,['Grocery'],8271 County Rd 189,"Florence, AL 35633",(256) 766-8535,/biz/cooleys-grocery-florence?osq=shopping,Waterloo,AL,35677,
3,Iuka Discount Drugs,$,"['Drugstores', 'Medical Supplies', 'Discount Store']",1411 W Quitman St,"Iuka, MS 38852",(662) 423-9039,/biz/iuka-discount-drugs-iuka-2?osq=shopping,Waterloo,AL,35677,
4,Rushing Drug Company,$,['Drugstores'],1519 W Quitman St,"Iuka, MS 38852",(662) 423-3629,/biz/rushing-drug-company-iuka?osq=shopping,Waterloo,AL,35677,
1,Cappleman’s Antiques & Collectibles,$$,['Antiques'],1619 Constitution Dr,"Iuka, MS 38852",(662) 423-6836,/biz/capplemans-antiques-and-collectibles-iuka?osq=shopping,Waterloo,AL,35677,
2,Walmart,$$,"['Department Stores', 'Grocery']",1110 Battleground Dr,"Iuka, MS 38852",(662) 423-3054,/biz/walmart-iuka?osq=shopping,Waterloo,AL,35677,
3,Fred’s,$$,['Department Stores'],615 Battleground Dr,"Iuka, MS 38852",(662) 423-5381,/biz/freds-iuka?osq=shopping,Waterloo,AL,35677,
4,Piggly Wiggly,$$,['Grocery'],627 Battleground Dr,"Iuka, MS 38852",(662) 423-3651,/biz/piggly-wiggly-iuka?osq=shopping,Waterloo,AL,35677,
5,Climate Guard Self Storage,$$,"['Self Storage', 'Packing Supplies']",,Serving Florence and the Surrounding Area,(256) 766-1221,/biz/climate-guard-self-storage-florence?osq=shopping,Waterloo,AL,35677,
1,Climate Guard Self Storage,$$,"['Self Storage', 'Packing Supplies']",['(256) 766-1221'],(256) 766-1221,Serving Florence and the Surrounding Area,/biz/climate-guard-self-storage-florence?osq=localservices,Waterloo,AL,35677,
1,Papa Gyro’s,$,"['Greek', 'Mediterranean', 'Persian/Iranian']",['(256) 489-9050'],(256) 489-9050,4925 University Dr NW,/biz/papa-gyros-huntsville?osq=restaurants,Huntsville,AL,35806,
2,Pieology Pizzeria,$,['Pizza'],['(256) 801-8132'],(256) 801-8132,365 The Bridge St,/biz/pieology-pizzeria-huntsville?osq=restaurants,Huntsville,AL,35806,
3,Urban Cookhouse,$,"['American (New)', 'Salad', 'Sandwiches']",['(256) 585-3052'],(256) 585-3052,325 The Bridge St,/biz/urban-cookhouse-huntsville?osq=restaurants,Huntsville,AL,35806,
4,Edgar’s Bakery,$,"['Bakeries', 'Breakfast & Brunch', 'Cupcakes']",['(256) 513-5551'],(256) 513-5551,472 Providence Main St NW,/biz/edgars-bakery-huntsville?osq=restaurants,Huntsville,AL,35806,
5,Shaggy’s Burgers & Tacos,$,"['Mexican', 'Burgers', 'Breakfast & Brunch']",['(256) 270-9999'],(256) 270-9999,1267 E Enterprise Way,/biz/shaggys-burgers-and-tacos-huntsville?osq=restaurants,Huntsville,AL,35806,
6,Mei Wei Asian Diner,$,"['Asian Fusion', 'Salad', 'Noodles']",['(256) 895-8484'],(256) 895-8484,6290 University Dr NW,/biz/mei-wei-asian-diner-huntsville?osq=restaurants,Huntsville,AL,35806,
7,Venice Pizza,$,"['Pizza', 'Italian']",['(256) 270-8584'],(256) 270-8584,6610 Old Madison Pike NW,/biz/venice-pizza-huntsville?osq=restaurants,Huntsville,AL,35806,
8,Sunny Street Cafe,$,"['Cafes', 'Breakfast & Brunch', 'Sandwiches']",['(256) 213-7120'],(256) 213-7120,7143 B Hwy 72 W,/biz/sunny-street-cafe-madison?osq=restaurants,Huntsville,AL,35806,
9,Pho 89,$,['Vietnamese'],['(256) 325-8889'],(256) 325-8889,7407 US Hwy 72 W,/biz/pho-89-madison-4?osq=restaurants,Huntsville,AL,35806,
10,Five Guys,$,"['Burgers', 'Fast Food']",['(256) 382-3526'],(256) 382-3526,1395 Enterprise Way,/biz/five-guys-huntsville-8?osq=restaurants,Huntsville,AL,35806,
11,Cafe 153,$,"['Sandwiches', 'Coffee & Tea', 'Waffles']",['(256) 251-5190'],(256) 251-5190,355 The Bridge St,/biz/cafe-153-huntsville?osq=restaurants,Huntsville,AL,35806,
12,Chipotle Mexican Grill,$,"['Mexican', 'Fast Food']",['(256) 895-7761'],(256) 895-7761,5900 University Dr,/biz/chipotle-mexican-grill-huntsville?osq=restaurants,Huntsville,AL,35806,
13,Jason’s Deli,$,"['Delis', 'Salad', 'Sandwiches']",['(256) 971-5325'],(256) 971-5325,1395 Enterprise Way,/biz/jasons-deli-huntsville-2?osq=restaurants,Huntsville,AL,35806,
14,IHOP,$,"['Breakfast & Brunch', 'American (Traditional)', 'Burgers']",['(256) 830-0047'],(256) 830-0047,6151 University Dr NW,/biz/ihop-huntsville-7?osq=restaurants,Huntsville,AL,35806,
15,Zoes Kitchen,$,"['Mediterranean', 'Greek', 'Sandwiches']",['(256) 971-1538'],(256) 971-1538,6275 University Dr,/biz/zoes-kitchen-huntsville-13?osq=restaurants,Huntsville,AL,35806,
16,Tellini’s Italiano,$,['Italian'],['(256) 726-9006'],(256) 726-9006,1515 Perimeter Pkwy NW,/biz/tellinis-italiano-huntsville?osq=restaurants,Huntsville,AL,35806,
17,Steak ’n Shake,$,"['Burgers', 'Breakfast & Brunch', 'American (Traditional)']",['(256) 417-6751'],(256) 417-6751,5901 University Dr,/biz/steak-n-shake-huntsville?osq=restaurants,Huntsville,AL,35806,
18,El Coyote #2,$,['Mexican'],['(256) 837-6877'],(256) 837-6877,6610 Old Madison Pike NW,/biz/el-coyote-2-huntsville?osq=restaurants,Huntsville,AL,35806,
19,Wayback Burgers,$,"['Sandwiches', 'Burgers', 'Cheesesteaks']",['(256) 532-9009'],(256) 532-9009,6290 University Dr,/biz/wayback-burgers-huntsville?osq=restaurants,Huntsville,AL,35806,
20,Pita Levant Mediterranean Grill,$,"['Mediterranean', 'Middle Eastern', 'Greek']",['(256) 585-2444'],(256) 585-2444,6125 University Dr,/biz/pita-levant-mediterranean-grill-huntsville?osq=restaurants,Huntsville,AL,35806,
21,Panera Bread,$,"['Sandwiches', 'Salad', 'Soup']",(256) 971-1235,Bridge Street Town Centre,/biz/panera-bread-huntsville-2?osq=restaurants,Huntsville,AL,35806,,
21,Panera Bread,$,"['Sandwiches', 'Salad', 'Soup']",(256) 971-1235,Bridge Street Town Centre,/biz/bridge-street-town-centre-huntsville,Huntsville,AL,35806,,
22,Panda Express,$,"['Chinese', 'Fast Food']",['(256) 971-6992'],(256) 971-6992,6125 University Dr NW,/biz/panda-express-huntsville?osq=restaurants,Huntsville,AL,35806,
23,Atlanta Bread,$,"['Bakeries', 'Sandwiches', 'Coffee & Tea']",['(256) 922-2253'],(256) 922-2253,6275 University Dr,/biz/atlanta-bread-huntsville?osq=restaurants,Huntsville,AL,35806,
24,Curry-N-A-Hurry Caribbean Restaurant,$,['Caribbean'],['(256) 722-0240'],(256) 722-0240,2420 Jordan Ln NW,/biz/curry-n-a-hurry-caribbean-restaurant-huntsville?osq=restaurants,Huntsville,AL,35806,
25,Jimmy John’s,$,"['Sandwiches', 'Delis', 'Fast Food']",['(256) 864-9997'],(256) 864-9997,7690 Hwy 72 W,/biz/jimmy-johns-huntsville?osq=restaurants,Huntsville,AL,35806,
26,Denny’s,$,"['Breakfast & Brunch', 'Diners', 'American (Traditional)']",['(256) 830-5612'],(256) 830-5612,4874 University Dr,/biz/dennys-huntsville-3?osq=restaurants,Huntsville,AL,35806,
27,Zaxby’s Chicken Fingers & Buffalo Wings,$,"['Chicken Wings', 'Fast Food', 'Salad']",['(256) 971-2770'],(256) 971-2770,6125 University Dr NW,/biz/zaxbys-chicken-fingers-and-buffalo-wings-huntsville-4?osq=restaurants,Huntsville,AL,35806,
28,Johnny Gryll’s,$,"['Burgers', 'Salad', 'Sandwiches']",['(256) 270-8041'],(256) 270-8041,6125 University Dr NW,/biz/johnny-grylls-huntsville-2?osq=restaurants,Huntsville,AL,35806,
29,Chick-fil-A,$,['Fast Food'],['(256) 837-1315'],(256) 837-1315,4733 University Dr NW,/biz/chick-fil-a-huntsville-5?osq=restaurants,Huntsville,AL,35806,
30,LawLers Barbecue - Jeff Rd,$,"['Barbeque', 'Southern']",['(256) 830-8200'],(256) 830-8200,1047 Jeff Rd NW,/biz/lawlers-barbecue-jeff-rd-monrovia?osq=restaurants,Huntsville,AL,35806,
31,Tenders,$,"['Chicken Wings', 'Desserts', 'Sandwiches']",['(256) 721-3395'],(256) 721-3395,527 Wynn Dr,/biz/tenders-huntsville-2?osq=restaurants,Huntsville,AL,35806,
32,Waffle House,$,"['American (Traditional)', 'Breakfast & Brunch', 'Diners']",['(256) 837-7411'],(256) 837-7411,4896 University Dr,/biz/waffle-house-huntsville-2?osq=restaurants,Huntsville,AL,35806,
33,Chicken Salad Chick of Madison,$,"['Chicken Shop', 'Southern', 'American (Traditional)']",['(256) 414-9961'],(256) 414-9961,7709 Highway 72 W,/biz/chicken-salad-chick-of-madison-madison?osq=restaurants,Huntsville,AL,35806,
34,McAlister’s Deli,$,"['Delis', 'Salad', 'Sandwiches']",['(256) 425-0034'],(256) 425-0034,1480 Perimeter Pkwy Nw,/biz/mcalisters-deli-huntsville-2?osq=restaurants,Huntsville,AL,35806,
35,Dairy Queen,$,"['Fast Food', 'Ice Cream & Frozen Yogurt']",['(256) 890-0802'],(256) 890-0802,7584 Hwy 72 W,/biz/dairy-queen-madison-4?osq=restaurants,Huntsville,AL,35806,
36,Teriyaki Madness,$,"['Japanese', 'Asian Fusion']",['(256) 325-1575'],(256) 325-1575,7709 Hwy 72 W,/biz/teriyaki-madness-madison?osq=restaurants,Huntsville,AL,35806,
37,Ruggby’s Food & Spirits,$,"['Bars', 'American (New)']",['(256) 895-0795'],(256) 895-0795,4820 University Dr,/biz/ruggbys-food-and-spirits-huntsville?osq=restaurants,Huntsville,AL,35806,
38,McDonald’s,$,"['Burgers', 'Fast Food', 'Coffee & Tea']",['(256) 895-0143'],(256) 895-0143,6100 University Dr NW,/biz/mcdonalds-huntsville-5?osq=restaurants,Huntsville,AL,35806,
39,Firehouse Subs,$,"['Fast Food', 'Delis', 'Sandwiches']",['(256) 971-8989'],(256) 971-8989,6275 University Dr,/biz/firehouse-subs-huntsville?osq=restaurants,Huntsville,AL,35806,
40,Pizza Hut,$,"['Italian', 'Pizza', 'Chicken Wings']",['(256) 837-1207'],(256) 837-1207,4802 University Dr NW,/biz/pizza-hut-huntsville-8?osq=restaurants,Huntsville,AL,35806,
41,Krystal,$,"['Burgers', 'Fast Food']",['(256) 830-9666'],(256) 830-9666,970 Old Monrovia Rd,/biz/krystal-huntsville-3?osq=restaurants,Huntsville,AL,35806,
42,Taco Bell,$,"['Mexican', 'Tex-Mex', 'Fast Food']",['(256) 837-3580'],(256) 837-3580,950 Old Monrovia Rd NW,/biz/taco-bell-huntsville-5?osq=restaurants,Huntsville,AL,35806,
43,Wendy’s,$,"['Burgers', 'Fast Food']",['(256) 837-9487'],(256) 837-9487,6102 University Dr NW,/biz/wendys-huntsville-5?osq=restaurants,Huntsville,AL,35806,
44,Popeyes Louisiana Kitchen,$,"['Fast Food', 'Chicken Wings']",['(256) 270-7436'],(256) 270-7436,7064 US 72,/biz/popeyes-louisiana-kitchen-huntsville-2?osq=restaurants,Huntsville,AL,35806,
45,Captain D’s,$,"['Seafood', 'Fast Food', 'American (Traditional)']",['(256) 837-5727'],(256) 837-5727,4953 University Dr NW,/biz/captain-ds-huntsville-3?osq=restaurants,Huntsville,AL,35806,
46,Ruth Rose Southern Tea Room,$,['Southern'],['(256) 425-7744'],(256) 425-7744,1047 Jeff Rd NW,/biz/ruth-rose-southern-tea-room-huntsville?osq=restaurants,Huntsville,AL,35806,
47,Cicis,$,['Pizza'],(256) 864-2224,Gallery Shopping Center,/biz/cicis-huntsville?osq=restaurants,Huntsville,AL,35806,,
47,Cicis,$,['Pizza'],(256) 864-2224,Gallery Shopping Center,/biz/gallery-shopping-center-huntsville,Huntsville,AL,35806,,
48,Moe’s Southwest Grill,$,"['Tex-Mex', 'Mexican']",['(256) 203-8744'],(256) 203-8744,335 The Bridge St,/biz/moes-southwest-grill-huntsville-5?osq=restaurants,Huntsville,AL,35806,
49,Greek Gyros Express,$,"['Burgers', 'Greek']",['(256) 858-1548'],(256) 858-1548,4710 University Dr,/biz/greek-gyros-express-huntsville-2?osq=restaurants,Huntsville,AL,35806,
50,Oriental Express Restaurant,$,['Chinese'],['(256) 722-9388'],(256) 722-9388,6140 University Dr NW,/biz/oriental-express-restaurant-huntsville?osq=restaurants,Huntsville,AL,35806,
51,Burger King,$,"['Burgers', 'Fast Food']",['(256) 722-0623'],(256) 722-0623,6363 University Dr NW,/biz/burger-king-huntsville-2?osq=restaurants,Huntsville,AL,35806,
52,The Pretzel Twister,$,"['Fast Food', 'Pretzels', 'Ice Cream & Frozen Yogurt']",,350 The Bridge St,,/biz/the-pretzel-twister-huntsville?osq=restaurants,Huntsville,AL,35806,
53,Subway,$,"['Sandwiches', 'Fast Food']",['(256) 722-9628'],(256) 722-9628,6212 Old Madison Pike NW,/biz/subway-huntsville-33?osq=restaurants,Huntsville,AL,35806,
54,Bojangles’ Famous Chicken and Biscuits,$,"['Breakfast & Brunch', 'Chicken Shop', 'Fast Food']",['(256) 513-8272'],(256) 513-8272,7049 US-72,/biz/bojangles-famous-chicken-and-biscuits-huntsville-5?osq=restaurants,Huntsville,AL,35806,
55,Monrovia Market & Deli,$,"['Convenience Stores', 'Delis']",,1069 Jeff Rd NW,,/biz/monrovia-market-and-deli-huntsville?osq=restaurants,Huntsville,AL,35806,
56,Subway,$,"['Sandwiches', 'Fast Food']",['(256) 837-7827'],(256) 837-7827,4710 University Dr NW,/biz/subway-huntsville-29?osq=restaurants,Huntsville,AL,35806,
57,Subway,$,"['Sandwiches', 'Fast Food']",['(256) 830-2290'],(256) 830-2290,6140 University Dr NW,/biz/subway-huntsville-6?osq=restaurants,Huntsville,AL,35806,
58,Subway,$,"['Sandwiches', 'Fast Food']",['(256) 922-0011'],(256) 922-0011,6125 University Dr NW,/biz/subway-huntsville-27?osq=restaurants,Huntsville,AL,35806,
1,Viet Huong Vietnamese Restaurant,$$,['Vietnamese'],['(256) 890-0104'],(256) 890-0104,930 Old Monrovia Rd NW,/biz/viet-huong-vietnamese-restaurant-huntsville?osq=restaurants,Huntsville,AL,35806,
2,BJ’s Restaurant & Brewhouse,$$,"['American (New)', 'Breweries', 'Pizza']",(256) 684-8080,Bridge Street Town Centre,/biz/bjs-restaurant-and-brewhouse-huntsville?osq=restaurants,Huntsville,AL,35806,,
2,BJ’s Restaurant & Brewhouse,$$,"['American (New)', 'Breweries', 'Pizza']",(256) 684-8080,Bridge Street Town Centre,/biz/bridge-street-town-centre-huntsville,Huntsville,AL,35806,,
3,Bar Louie,$$,"['Bars', 'American (New)']",['(256) 327-8630'],(256) 327-8630,365 The Bridge St,/biz/bar-louie-huntsville?osq=restaurants,Huntsville,AL,35806,
4,Rosie’s Mexican Cantina,$$,['Mexican'],['(256) 922-1001'],(256) 922-1001,6196 University Dr NW,/biz/rosies-mexican-cantina-huntsville?osq=restaurants,Huntsville,AL,35806,
